书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
习近平新时代中国特色社会主义思想学习问答（小字本）,中共中央宣传部,2021-02-24,学习出版社,29.0,24.5,0.8400000000000001,422,2021年,100%,6.8,13497.0
地图上的全景世界史（精装全2册，画给孩子的世界历史绘本，适合6,魏新,2020-04-01,山东省地图出版社,316.0,158.0,0.5,425,2021年,100%,151.1,58556.0
如果历史是一群喵1-8（套装共8册）,肥志,2021-05-28,广东旅游出版社,458.0,229.0,0.5,426,2021年,99.9%,323.4,52000.0
王阳明传：知行合一的心学圣人,燕山刀客,2019-02-28,中国友谊出版公司,48.0,36.0,0.75,427,2021年,99.9%,36.8,52253.0
爱的教育（孩子们都应该读一读的心灵读本，一本触及每一个孩子心,埃德蒙多`德`亚米契斯,2018-12-01,安徽教育出版社,24.8,10.4,0.42000000000000004,428,2021年,100%,6.7,43094.0
非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法,红眸,2021-08-31,天津人民出版社,52.0,35.8,0.6900000000000001,429,2021年,100%,24.9,46507.0
半小时漫画中国哲学史（其实是一本严谨的极简中国哲学史！二混子,陈磊.半小时漫画团队,2020-08-31,江苏凤凰文艺出版社,49.9,24.9,0.5,431,2021年,100%,25.0,67166.0
地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》，经典,儒勒・凡尔纳,2020-04-01,民主与建设出版社,35.0,14.7,0.42000000000000004,437,2021年,100%,4.6,61492.0
兔子坡 彩图注音版 小学生一二三年级6-7-8-9岁课外阅读书籍世界经,罗伯特・罗素,2020-03-01,北京日报出版社,16.8,7.1,0.42000000000000004,440,2021年,100%,3.2,62275.0
人体简史（你的记忆能被篡改！一部从头讲到脚、从里讲到外、从30,比尔・布莱森,2020-06-30,文汇出版社,69.9,34.9,0.5,442,2021年,100%,15.0,77779.0
一只想飞的猫 陈伯吹童话专集（中国儿童文学大赏）二年级上册快乐,陈伯吹,2018-10-01,天地出版社,19.8,8.4,0.42000000000000004,444,2021年,100%,3.8,48839.0
茶花女（令北大中文系教授袁行霈先生“潸然泪下”的爱情悲剧）,小仲马,2017-08-01,西安交通大学出版社,22.0,15.1,0.6900000000000001,445,2021年,99.9%,2.0,63268.0
夜航船（读过《夜航船》，灵魂才有趣！贾平凹、余秋雨推崇阅读),张岱,2020-10-01,台海出版社,49.8,13.94,0.27999999999999997,447,2021年,99.9%,16.9,43350.0
克拉拉与太阳（比尔・盖茨2021年度书单，诺贝尔文学奖得主石黑一,石黑一雄,2021-04-01,上海译文出版社,68.0,55.6,0.82,450,2021年,100%,48.3,77407.0
人间好玩（“八旬”蔡澜的人生智慧书。汪涵、大张伟赞赏的“师傅,蔡澜,2021-03-12,湖南文艺出版社,48.0,24.0,0.5,455,2021年,100%,35.0,80540.0
草原上的小木屋 小学生儿童文学三四五六年级8-9-10-12岁课外阅读,罗兰・英格斯・怀德,2019-08-01,北京日报出版社,19.8,8.4,0.42000000000000004,461,2021年,100%,2.0,82957.0
国富论（上下册）（全译本、无删节本、畅读本，附有概念导图）,亚当・斯密,2020-06-01,河南大学出版社,89.0,37.4,0.42000000000000004,464,2021年,99.9%,24.3,45231.0
饮食术（风靡日本的科学饮食教科书，畅销日本80万册，资深医学博,牧田善二,2020-09-01,中国中医药出版社,59.8,29.9,0.5,465,2021年,100%,41.9,78068.0
屁屁侦探思维进阶版 第一辑（精装4册）,Troll,2021-03-01,二十一世纪出版社,140.0,70.0,0.5,473,2021年,100%,72.3,94224.0
给青年的十二封信（语文教材“名著导读”经典・八年级下。大语文,朱光潜,2019-11-18,时代文艺出版社,25.0,3.5,0.13999999999999999,474,2021年,100%,5.5,40761.0
风声（经历过大孤独、大绝望的人，会懂得《风声》给你的大坚韧和,麦家,2020-10-31,上海文艺出版社,59.9,41.3,0.6900000000000001,477,2021年,100%,32.1,69590.0
小橘灯（也作《小桔灯》，一部以“爱美善”为主题的冰心美文集）,冰心,2017-04-01,浙江工商大学出版社,25.0,5.3,0.21000000000000002,482,2021年,99.9%,2.0,38639.0
半小时漫画党史1921―1949（针对青少年研发，给孩子们讲党的故事,上海人民出版社,2021-09-01,上海人民出版社,49.9,24.9,0.5,483,2021年,93.9%,34.8,49.0
小学生心理学漫画(全6册)6种心理能力，培养好性格，内心更强大。,小禾心理研究所,2019-12-09,江苏凤凰文艺出版社,196.8,98.4,0.5,486,2021年,100%,80.0,99817.0
西西弗神话 加缪之女亲笔推荐版！蒲熠星推荐!曾经我也觉得人生没,阿尔贝.加缪,2020-12-31,江苏凤凰文艺出版社,45.0,22.5,0.5,488,2021年,100%,19.7,54246.0
李诞脱口秀工作手册（李诞分享创作经验！创意是智力活儿，也是体,李诞,2021-08-01,江苏凤凰文艺出版社,42.0,21.0,0.5,493,2021年,100%,28.4,51474.0
爱你就像爱生命（五线谱情书珍藏版）,王小波,2017-09-01,北京十月文艺出版社,35.0,26.2,0.75,494,2021年,100%,22.1,77266.0
格列佛游记（语文教材“名著导读”经典・九年级下。未删节全译本,乔纳森・斯威夫特,2017-03-01,浙江工商大学出版社,24.0,9.9,0.41,497,2021年,100%,2.1,99128.0
男孩、鼹鼠、狐狸和马（奥斯卡获奖动画原著！当代《小王子》！）,查理・麦克西,2021-02-01,北京联合出版有限公司,88.0,66.0,0.75,498,2021年,100%,52.8,60615.0
阅读的方法（罗胖罗振宇的新书来了！这本书里有让你爱上阅读的方,罗振宇,2022-04-15,新星出版社,69.0,49.6,0.72,34,2022年,100%,53.7,91093.0
少年读山海经（地理+神话+怪兽+奇闻+古文，套装 全3册，附赠定制,刘兴诗,2021-10-01,青岛出版社,100.0,50.0,0.5,46,2022年,100%,23.6,73130.0
【赠明信片】大中华寻宝系列29 内蒙古寻宝记,京鼎动漫,2022-04-01,二十一世纪出版社,35.0,22.75,0.65,130,2022年,100%,24.9,53860.0
二十四史少年精编版（套装全4册）萃取纯正精华，来自浩如烟海的中,何孝荣,2020-08-01,青岛出版社,156.0,78.0,0.5,143,2022年,100%,72.2,73742.0
书的全景：通往幸福、成功、财富的地图,池宇峰,2022-04-01,中译出版社（原中国对外翻译出版公司）,89.0,40.0,0.45,147,2022年,100%,30.0,48662.0
罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白,陀思妥耶夫斯基,2020-09-01,台海出版社,58.0,12.5,0.22000000000000003,153,2022年,99.9%,10.0,97401.0
和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）,关航,2021-10-01,海豚出版社,150.0,58.5,0.39,169,2022年,99.9%,34.6,46033.0
回家（孙悦新书！电影《亲爱的》原型之一孙海洋的漫漫寻子路，传,孙悦,2022-09-30,中信出版社,59.8,29.9,0.5,176,2022年,100%,41.9,74314.0
健康不走弯路：细节打造好身体,刘加勇,2022-10-01,中国人口出版社,49.8,22.4,0.45,180,2022年,100%,30.5,75946.0
想为你的深夜放一束烟火（刘同新书，随书附赠手写书名海报！暗处,刘同,2022-06-01,浙江文艺出版社,52.0,26.0,0.5,181,2022年,99.9%,52.0,32812.0
停止你的内在战争,黄仕明,2022-05-01,民主与建设出版社,68.0,39.44,0.58,183,2022年,100%,44.8,63428.0
中国民间故事 田螺姑娘 快乐读书吧 五年级上册推荐阅读(中小学生,扬光,2020-06-01,商务印书馆,15.8,7.1,0.45,187,2022年,100%,4.4,90287.0
同名同姓受害者协会（登场人物全员同名同姓！江户川乱步奖得主推,下村敦史,2022-03-30,文汇出版社,45.0,22.5,0.5,215,2022年,100%,25.0,45171.0
南明史（全2册）（获中国国家图书奖，明史大家顾诚代表作。从南明,顾诚,2022-03-01,北京日报出版社,129.9,64.9,0.5,228,2022年,99.8%,129.9,87140.0
